  ==================      ===========================              ===========================                        
   HTTP Status            URL                                      Status Message                                     
  ==================      ===========================              ===========================                        
   200                    andhraeducationsocietymumbai.org         Successful: OK                                     
   200                    apostoliccarmelicse.org                  Successful: OK                                     
   200                    aquinasinternational.org                 Successful: OK                                     
   200                    divinechildandheri.com                   Successful: OK                                     
   200                    donbosconaigaon.org                      Successful: OK                                     
   200                    namratarao.com                           Successful: OK                                     
   200                    niroggyan.com                            Successful: OK                                     
   200                    salvationchurch.in                       Successful: OK                                     
   000                    sjcinternational.org                     Not responding                                     
   200                    strategiccaravan.com                     Successful: OK                                     
   200                    ymcabombay.org                           Successful: OK                                     
   200                    adhs.in                                  Successful: OK                                     
   403                    andrewscchmct.org                        Client Error: Forbidden                            
   200                    apcarmelwp.in                            Successful: OK                                     
   000                    apostoliccarmelalumnibandra.org          Not responding                                     
   000                    apostoliccarmelcongregation.org          Not responding                                     
   200                    archbomird.org                           Successful: OK                                     
   200                    archgandhinagar.org                      Successful: OK                                     
   200                    avmschools.ac.in                         Successful: OK                                     
   200                    basca.in                                 Successful: OK                                     
   200                    beaconhigh.co.in                         Successful: OK                                     
   000                    beaconhigh.in                            Not responding                                     
   200                    beaconhighmumbai.com                     Successful: OK                                     
   200                    bharouldonbosco.com                      Successful: OK                                     
   200                    bpmhighschool.org                        Successful: OK                                     
   200                    campionschool.in                         Successful: OK                                     
   200                    campionschool.org                        Successful: OK                                     
   200                    canossamahim.org                         Successful: OK                                     
   200                    canossapre-schoolteachertraining.in      Successful: OK                                     
   200                    canossaprimaryandheri.org                Successful: OK                                     
   200                    canossasecondaryandheri.org              Successful: OK                                     
   200                    cardinalgraciashighschool.org            Successful: OK                                     
   200                    carmelconventhighschool.org              Successful: OK                                     
   200                    cjmvadodara.org                          Successful: OK                                     
   200                    clahsranchi.org                          Successful: OK                                     
   200                    dbis.in                                  Successful: OK                                     
   200                    discoveri.in                             Successful: OK                                     
   200                    divinechildcbse.org                      Successful: OK                                     
   000                    dominicsaviovidyalaya.org                Not responding                                     
   200                    donboscoborivli.org                      Successful: OK                                     
   200                    donboscomatunga.com                      Successful: OK                                     
   200                    drantoniodasilva.com                     Successful: OK                                     
   200                    epilepsymumbai.org                       Successful: OK                                     
   200                    fhic-cghs.com                            Successful: OK                                     
   200                    fhsbadlapur.org                          Successful: OK                                     
   200                    fortconventalumni.in                     Successful: OK                                     
   200                    fortconvent.org                          Successful: OK                                     
   200                    frswamy.org                              Successful: OK                                     
   200                    gebci.org                                Successful: OK                                     
   200                    gennextsports.co.in                      Successful: OK                                     
   200                    goodsamaritan.in                         Successful: OK                                     
   200                    happilyherbal.com                        Successful: OK                                     
   000                    hmnanavatischool.edu.in                  Not responding                                     
   200                    holycrossconventschoolmiraroad.org       Successful: OK                                     
   200                    holycrosshighschool.in                   Successful: OK                                     
   200                    holycrossprimarythane.in                 Successful: OK                                     
   200                    holyfamilyandheri.org                    Successful: OK                                     
   200                    holynamehighschool.org                   Successful: OK                                     
   000                    iamhealthy.in                            Not responding                                     
   200                    ilidelhiadmissions.in                    Successful: OK                                     
   522                    intelliadmissions.com                    Cloudflare Error: Connection Timed Out                     
   200                    intelliadmissions.org                    Successful: OK                                     
   000                    intellichat.in                           Not responding                                     
